Id,Label,Weight
N348,有狐噢狐狐,18.0
N349,汪海林,17.0
N350,金碟打牌,17.0
N351,我有辣味跟我走,17.0
N352,午夜南瓜SQL,17.0
N353,AutoportraitVanGogh,17.0
N354,别扒拉颜狗,17.0
N355,川崎BGM归来,17.0
N356,起肖蔷,17.0
N357,胜利主义章北海,17.0
N358,拆台CT,17.0
N359,Ss_vany婉莹,1.0
N360,张文英律师,1.0
N361,凤凰新闻客户端,11.0
N362,曹海旺198202,1.0
N363,llhtinglopiely,1.0
N364,笨笨一笑1,1.0
N365,Hdjdjdjjeuk,2.0
N366,小羊同学不吃辣,1.0
N367,墨者宇凡,1.0
N368,书生意气MclDarwin,4.0
N369,杨柳晴100,1.0
N370,人民日报出版社,1.0
N371,晴野里,3.0
N372,小背带菇凉,4.0
N373,木士游,1.0
N374,火车手Eric,3.0
N375,大连开心鬼,3.0
N376,清华大学美术学院,3.0
N377,清华大学,3.0
N378,c告诉大熊我爱他,3.0
N379,北京吴勇工作室,3.0
N380,人教版出版社,3.0
N381,肤浅愤怒的卤子,1.0
N382,你是的信仰,49.0
N383,点时新闻,10.0
N384,热的打挑卡,4.0
N385,大学生模特俱乐部,4.0
N386,新华网,7.0
N387,sensational2013,5.0
N388,中国法学会,5.0
N389,齐笙,1.0
N390,盐汽水嘭嘭爆炸,2.0
N391,heijanlin,6.0
N392,木子忆天,3.0
N393,清清莱莱菜,3.0
N394,环球时报,9.0
N395,小胡tianshui,6.0
N396,新浪娱乐,6.0
N397,人民邮电报,6.0
N398,兔子毛上的小狮子,5.0
N399,直播海南,5.0
N400,昌江发布,5.0
N401,海南日报,5.0
N402,中央电视台,5.0
N403,皮卡丘的维他命Cc,2.0
N404,1005的他,4.0
N405,中华崛起新时代,3.0
N406,星河Babys,3.0
N407,责任周刊,5.0
N408,苏州发布,5.0
N409,AI财经社,5.0
N410,angelababy,5.0
N411,陈兰英-,2.0
N412,奔跑中的小强子,4.0
N413,深夜一只猫,3.0
N414,自省丶自律丶自由,2.0
N415,西瓜吧唧,2.0
N416,中国教育在线,6.0
N417,如果遇健你一定爱上你,5.0
N418,零度时评,5.0
N419,北京日报,10.0
N420,吃不了肉啊,1.0
N421,犹抱琵琶半遮颜,4.0
N422,中国青年报,8.0
N423,中国教育电视台,4.0
N424,小哆啦和A梦,3.0
N425,闲了的鱼5566,5.0
N426,CCTV今日说法,5.0
N427,神明的眷爱,3.0
N428,白丁鸿俊,3.0
N429,镹夜清風,1.0
N430,脚滑的猛犸,3.0
N431,邹馨馨吾,2.0
N432,木之本巴啦啦能量,3.0
N433,中国网,3.0
N434,老韩跑鞋说JackHYD,2.0
N435,半月谈,9.0
N436,Celiafurong,4.0
N437,Bonnie-tttong,2.0
N438,冷艳红唇Amy,2.0
N439,皮皮丘xi,3.0
N440,财经网,3.0
N441,任九t,1.0
N442,TiAmo肆意,2.0
N443,费费德勒的姐姐,4.0
N444,财新网,4.0
N445,法治日报,4.0
